0000..002C  ; DISALLOWED  # <control>..COMMA
1E70        ; DISALLOWED  # LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
1E71        ; PVALID      # LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
1E72        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
1E73        ; PVALID      # LATIN SMALL LETTER U WITH DIAERESIS BELOW
1E74        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH TILDE BELOW
1E75        ; PVALID      # LATIN SMALL LETTER U WITH TILDE BELOW
1E76        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
1E77        ; PVALID      # LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW
1E78        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
1E79        ; PVALID      # LATIN SMALL LETTER U WITH TILDE AND ACUTE
1E7A        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH MACRON AND DIAER
1E7B        ; PVALID      # LATIN SMALL LETTER U WITH MACRON AND DIAERES
1E7C        ; DISALLOWED  # LATIN CAPITAL LETTER V WITH TILDE
1E7D        ; PVALID      # LATIN SMALL LETTER V WITH TILDE
1E7E        ; DISALLOWED  # LATIN CAPITAL LETTER V WITH DOT BELOW
1E7F        ; PVALID      # LATIN SMALL LETTER V WITH DOT BELOW
1E80        ; DISALLOWED  # LATIN CAPITAL LETTER W WITH GRAVE
1E81        ; PVALID      # LATIN SMALL LETTER W WITH GRAVE
1E82        ; DISALLOWED  # LATIN CAPITAL LETTER W WITH ACUTE
1E83        ; PVALID      # LATIN SMALL LETTER W WITH ACUTE
1E84        ; DISALLOWED  # LATIN CAPITAL LETTER W WITH DIAERESIS
1E85        ; PVALID      # LATIN SMALL LETTER W WITH DIAERESIS
1E86        ; DISALLOWED  # LATIN CAPITAL LETTER W WITH DOT ABOVE
1E87        ; PVALID      # LATIN SMALL LETTER W WITH DOT ABOVE
1E88        ; DISALLOWED  # LATIN CAPITAL LETTER W WITH DOT BELOW
1E89        ; PVALID      # LATIN SMALL LETTER W WITH DOT BELOW
1E8A        ; DISALLOWED  # LATIN CAPITAL LETTER X WITH DOT ABOVE
1E8B        ; PVALID      # LATIN SMALL LETTER X WITH DOT ABOVE
1E8C        ; DISALLOWED  # LATIN CAPITAL LETTER X WITH DIAERESIS
1E8D        ; PVALID      # LATIN SMALL LETTER X WITH DIAERESIS
1E8E        ; DISALLOWED  # LATIN CAPITAL LETTER Y WITH DOT ABOVE
1E8F        ; PVALID      # LATIN SMALL LETTER Y WITH DOT ABOVE
1E90        ; DISALLOWED  # LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
1E91        ; PVALID      # LATIN SMALL LETTER Z WITH CIRCUMFLEX
1E92        ; DISALLOWED  # LATIN CAPITAL LETTER Z WITH DOT BELOW
1E93        ; PVALID      # LATIN SMALL LETTER Z WITH DOT BELOW
1E94        ; DISALLOWED  # LATIN CAPITAL LETTER Z WITH LINE BELOW
1E95..1E99  ; PVALID      # LATIN SMALL LETTER Z WITH LINE BELOW..LATIN
1E9A..1E9B  ; DISALLOWED  # LATIN SMALL LETTER A WITH RIGHT HALF RING..L
1E9C..1E9D  ; PVALID      # LATIN SMALL LETTER LONG S WITH DIAGONAL STRO
1E9E        ; DISALLOWED  # LATIN CAPITAL LETTER SHARP S
1E9F        ; PVALID      # LATIN SMALL LETTER DELTA
1EA0        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH DOT BELOW
1EA1        ; PVALID      # LATIN SMALL LETTER A WITH DOT BELOW
1EA2        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH HOOK ABOVE
1EA3        ; PVALID      # LATIN SMALL LETTER A WITH HOOK ABOVE
1EA4        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND A
1EA5        ; PVALID      # LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACU
1EA6        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND G
1EA7        ; PVALID      # LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRA
1EA8        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND H
1EA9        ; PVALID      # LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOO
1EAA        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND T
1EAB        ; PVALID      # LATIN SMALL LETTER A WITH CIRCUMFLEX AND TIL
1EAC        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND D
1EAD        ; PVALID      # LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT
1EAE        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
1EAF        ; PVALID      # LATIN SMALL LETTER A WITH BREVE AND ACUTE
1EB0        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
1EB1        ; PVALID      # LATIN SMALL LETTER A WITH BREVE AND GRAVE
1EB2        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH BREVE AND HOOK A
1EB3        ; PVALID      # LATIN SMALL LETTER A WITH BREVE AND HOOK ABO
1EB4        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH BREVE AND TILDE
1EB5        ; PVALID      # LATIN SMALL LETTER A WITH BREVE AND TILDE
1EB6        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH BREVE AND DOT BE
1EB7        ; PVALID      # LATIN SMALL LETTER A WITH BREVE AND DOT BELO
1EB8        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH DOT BELOW
1EB9        ; PVALID      # LATIN SMALL LETTER E WITH DOT BELOW
1EBA        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH HOOK ABOVE
1EBB        ; PVALID      # LATIN SMALL LETTER E WITH HOOK ABOVE
1EBC        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH TILDE
1EBD        ; PVALID      # LATIN SMALL LETTER E WITH TILDE
1EBE        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND A
1EBF        ; PVALID      # LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACU
1EC0        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND G
1EC1        ; PVALID      # LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRA
1EC2        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND H
1EC3        ; PVALID      # LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOO
1EC4        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND T
1EC5        ; PVALID      # LATIN SMALL LETTER E WITH CIRCUMFLEX AND TIL
1EC6        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND D
1EC7        ; PVALID      # LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT
1EC8        ; DISALLOWED  # LATIN CAPITAL LETTER I WITH HOOK ABOVE
1EC9        ; PVALID      # LATIN SMALL LETTER I WITH HOOK ABOVE
1ECA        ; DISALLOWED  # LATIN CAPITAL LETTER I WITH DOT BELOW
1ECB        ; PVALID      # LATIN SMALL LETTER I WITH DOT BELOW
1ECC        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH DOT BELOW
1ECD        ; PVALID      # LATIN SMALL LETTER O WITH DOT BELOW
1ECE        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH HOOK ABOVE
1ECF        ; PVALID      # LATIN SMALL LETTER O WITH HOOK ABOVE
1ED0        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND A
1ED1        ; PVALID      # LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACU
1ED2        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND G
1ED3        ; PVALID      # LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRA
1ED4        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND H
1ED5        ; PVALID      # LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOO
1ED6        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND T
1ED7        ; PVALID      # LATIN SMALL LETTER O WITH CIRCUMFLEX AND TIL
1ED8        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND D
1ED9        ; PVALID      # LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT
1EDA        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH HORN AND ACUTE
1EDB        ; PVALID      # LATIN SMALL LETTER O WITH HORN AND ACUTE
1EDC        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH HORN AND GRAVE
1EDD        ; PVALID      # LATIN SMALL LETTER O WITH HORN AND GRAVE
1EDE        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH HORN AND HOOK AB
1EDF        ; PVALID      # LATIN SMALL LETTER O WITH HORN AND HOOK ABOV
1EE0        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH HORN AND TILDE
1EE1        ; PVALID      # LATIN SMALL LETTER O WITH HORN AND TILDE
1EE2        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH HORN AND DOT BEL
1EE3        ; PVALID      # LATIN SMALL LETTER O WITH HORN AND DOT BELOW
1EE4        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH DOT BELOW
1EE5        ; PVALID      # LATIN SMALL LETTER U WITH DOT BELOW
1EE6        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH HOOK ABOVE
1EE7        ; PVALID      # LATIN SMALL LETTER U WITH HOOK ABOVE
1EE8        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH HORN AND ACUTE
1EE9        ; PVALID      # LATIN SMALL LETTER U WITH HORN AND ACUTE
1EEA        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH HORN AND GRAVE
1EEB        ; PVALID      # LATIN SMALL LETTER U WITH HORN AND GRAVE
1EEC        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH HORN AND HOOK AB
1EED        ; PVALID      # LATIN SMALL LETTER U WITH HORN AND HOOK ABOV
1EEE        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH HORN AND TILDE
1EEF        ; PVALID      # LATIN SMALL LETTER U WITH HORN AND TILDE
1EF0        ; DISALLOWED  # LATIN CAPITAL LETTER U WITH HORN AND DOT BEL
1EF1        ; PVALID      # LATIN SMALL LETTER U WITH HORN AND DOT BELOW
1EF2        ; DISALLOWED  # LATIN CAPITAL LETTER Y WITH GRAVE
1EF3        ; PVALID      # LATIN SMALL LETTER Y WITH GRAVE
1EF4        ; DISALLOWED  # LATIN CAPITAL LETTER Y WITH DOT BELOW
1EF5        ; PVALID      # LATIN SMALL LETTER Y WITH DOT BELOW
1EF6        ; DISALLOWED  # LATIN CAPITAL LETTER Y WITH HOOK ABOVE
1EF7        ; PVALID      # LATIN SMALL LETTER Y WITH HOOK ABOVE
1EF8        ; DISALLOWED  # LATIN CAPITAL LETTER Y WITH TILDE
1EF9        ; PVALID      # LATIN SMALL LETTER Y WITH TILDE
1EFA        ; DISALLOWED  # LATIN CAPITAL LETTER MIDDLE-WELSH LL
1EFB        ; PVALID      # LATIN SMALL LETTER MIDDLE-WELSH LL
1EFC        ; DISALLOWED  # LATIN CAPITAL LETTER MIDDLE-WELSH V
1EFD        ; PVALID      # LATIN SMALL LETTER MIDDLE-WELSH V
1EFE        ; DISALLOWED  # LATIN CAPITAL LETTER Y WITH LOOP
1EFF..1F07  ; PVALID      # LATIN SMALL LETTER Y WITH LOOP..GREEK SMALL
1F000..1F02B; DISALLOWED  # MAHJONG TILE EAST WIND..MAHJONG TILE BACK
1F02C..1F02F; UNASSIGNED  # <reserved>..<reserved>
1F030..1F093; DISALLOWED  # DOMINO TILE HORIZONTAL BACK..DOMINO TILE VER
1F08..1F0F  ; DISALLOWED  # GREEK CAPITAL LETTER ALPHA WITH PSILI..GREEK
1F094..1F0FF; UNASSIGNED  # <reserved>..<reserved>
1F10..1F15  ; PVALID      # GREEK SMALL LETTER EPSILON WITH PSILI..GREEK
1F100..1F10A; DISALLOWED  # DIGIT ZERO FULL STOP..DIGIT NINE COMMA
1F10B..1F10F; UNASSIGNED  # <reserved>..<reserved>
1F110..1F12E; DISALLOWED  # PARENTHESIZED LATIN CAPITAL LETTER A..CIRCLE
1F12F..1F130; UNASSIGNED  # <reserved>..<reserved>
1F131       ; DISALLOWED  # SQUARED LATIN CAPITAL LETTER B
1F132..1F13C; UNASSIGNED  # <reserved>..<reserved>
1F13D       ; DISALLOWED  # SQUARED LATIN CAPITAL LETTER N
1F13E       ; UNASSIGNED  # <reserved>
1F13F       ; DISALLOWED  # SQUARED LATIN CAPITAL LETTER P
1F140..1F141; UNASSIGNED  # <reserved>..<reserved>
1F142       ; DISALLOWED  # SQUARED LATIN CAPITAL LETTER S
1F143..1F145; UNASSIGNED  # <reserved>..<reserved>
1F146       ; DISALLOWED  # SQUARED LATIN CAPITAL LETTER W
1F147..1F149; UNASSIGNED  # <reserved>..<reserved>
1F14A..1F14E; DISALLOWED  # SQUARED HV..SQUARED PPV
1F14F..1F156; UNASSIGNED  # <reserved>..<reserved>
1F157       ; DISALLOWED  # NEGATIVE CIRCLED LATIN CAPITAL LETTER H
1F158..1F15E; UNASSIGNED  # <reserved>..<reserved>
1F15F       ; DISALLOWED  # NEGATIVE CIRCLED LATIN CAPITAL LETTER P
1F16..1F17  ; UNASSIGNED  # <reserved>..<reserved>
1F160..1F178; UNASSIGNED  # <reserved>..<reserved>
1F179       ; DISALLOWED  # NEGATIVE SQUARED LATIN CAPITAL LETTER J
1F17A       ; UNASSIGNED  # <reserved>
1F17B..1F17C; DISALLOWED  # NEGATIVE SQUARED LATIN CAPITAL LETTER L..NEG
1F17D..1F17E; UNASSIGNED  # <reserved>..<reserved>
1F17F       ; DISALLOWED  # NEGATIVE SQUARED LATIN CAPITAL LETTER P
1F18..1F1D  ; DISALLOWED  # GREEK CAPITAL LETTER EPSILON WITH PSILI..GRE
1F180..1F189; UNASSIGNED  # <reserved>..<reserved>
1F18A..1F18D; DISALLOWED  # CROSSED NEGATIVE SQUARED LATIN CAPITAL LETTE
1F18E..1F18F; UNASSIGNED  # <reserved>..<reserved>
1F190       ; DISALLOWED  # SQUARE DJ
1F191..1F1FF; UNASSIGNED  # <reserved>..<reserved>
1F1E..1F1F  ; UNASSIGNED  # <reserved>..<reserved>
1F20..1F27  ; PVALID      # GREEK SMALL LETTER ETA WITH PSILI..GREEK SMA
1F200       ; DISALLOWED  # SQUARE HIRAGANA HOKA
1F201..1F20F; UNASSIGNED  # <reserved>..<reserved>
1F210..1F231; DISALLOWED  # SQUARED CJK UNIFIED IDEOGRAPH-624B..SQUARED
1F232..1F23F; UNASSIGNED  # <reserved>..<reserved>
1F240..1F248; DISALLOWED  # TORTOISE SHELL BRACKETED CJK UNIFIED IDEOGRA
1F249..1FFFD; UNASSIGNED  # <reserved>..<reserved>
1F28..1F2F  ; DISALLOWED  # GREEK CAPITAL LETTER ETA WITH PSILI..GREEK C
1F30..1F37  ; PVALID      # GREEK SMALL LETTER IOTA WITH PSILI..GREEK SM
1F38..1F3F  ; DISALLOWED  # GREEK CAPITAL LETTER IOTA WITH PSILI..GREEK
1F40..1F45  ; PVALID      # GREEK SMALL LETTER OMICRON WITH PSILI..GREEK
1F46..1F47  ; UNASSIGNED  # <reserved>..<reserved>
1F48..1F4D  ; DISALLOWED  # GREEK CAPITAL LETTER OMICRON WITH PSILI..GRE
1F4E..1F4F  ; UNASSIGNED  # <reserved>..<reserved>
1F50..1F57  ; PVALID      # GREEK SMALL LETTER UPSILON WITH PSILI..GREEK
1F58        ; UNASSIGNED  # <reserved>
1F59        ; DISALLOWED  # GREEK CAPITAL LETTER UPSILON WITH DASIA
1F5A        ; UNASSIGNED  # <reserved>
1F5B        ; DISALLOWED  # GREEK CAPITAL LETTER UPSILON WITH DASIA AND
1F5C        ; UNASSIGNED  # <reserved>
1F5D        ; DISALLOWED  # GREEK CAPITAL LETTER UPSILON WITH DASIA AND
1F5E        ; UNASSIGNED  # <reserved>
1F5F        ; DISALLOWED  # GREEK CAPITAL LETTER UPSILON WITH DASIA AND
1F60..1F67  ; PVALID      # GREEK SMALL LETTER OMEGA WITH PSILI..GREEK S
1F68..1F6F  ; DISALLOWED  # GREEK CAPITAL LETTER OMEGA WITH PSILI..GREEK
1F70        ; PVALID      # GREEK SMALL LETTER ALPHA WITH VARIA
1F71        ; DISALLOWED  # GREEK SMALL LETTER ALPHA WITH OXIA
1F72        ; PVALID      # GREEK SMALL LETTER EPSILON WITH VARIA
1F73        ; DISALLOWED  # GREEK SMALL LETTER EPSILON WITH OXIA
1F74        ; PVALID      # GREEK SMALL LETTER ETA WITH VARIA
1F75        ; DISALLOWED  # GREEK SMALL LETTER ETA WITH OXIA
1F76        ; PVALID      # GREEK SMALL LETTER IOTA WITH VARIA
1F77        ; DISALLOWED  # GREEK SMALL LETTER IOTA WITH OXIA
1F78        ; PVALID      # GREEK SMALL LETTER OMICRON WITH VARIA
1F79        ; DISALLOWED  # GREEK SMALL LETTER OMICRON WITH OXIA
1F7A        ; PVALID      # GREEK SMALL LETTER UPSILON WITH VARIA
1F7B        ; DISALLOWED  # GREEK SMALL LETTER UPSILON WITH OXIA
1F7C        ; PVALID      # GREEK SMALL LETTER OMEGA WITH VARIA
1F7D        ; DISALLOWED  # GREEK SMALL LETTER OMEGA WITH OXIA
1F7E..1F7F  ; UNASSIGNED  # <reserved>..<reserved>
1F80..1FAF  ; DISALLOWED  # GREEK SMALL LETTER ALPHA WITH PSILI AND YPOG
1FB0..1FB1  ; PVALID      # GREEK SMALL LETTER ALPHA WITH VRACHY..GREEK
1FB2..1FB4  ; DISALLOWED  # GREEK SMALL LETTER ALPHA WITH VARIA AND YPOG
1FB5        ; UNASSIGNED  # <reserved>
1FB6        ; PVALID      # GREEK SMALL LETTER ALPHA WITH PERISPOMENI
1FB7..1FC4  ; DISALLOWED  # GREEK SMALL LETTER ALPHA WITH PERISPOMENI AN
1FC5        ; UNASSIGNED  # <reserved>
1FC6        ; PVALID      # GREEK SMALL LETTER ETA WITH PERISPOMENI
1FC7..1FCF  ; DISALLOWED  # GREEK SMALL LETTER ETA WITH PERISPOMENI AND
1FD0..1FD2  ; PVALID      # GREEK SMALL LETTER IOTA WITH VRACHY..GREEK S
1FD3        ; DISALLOWED  # GREEK SMALL LETTER IOTA WITH DIALYTIKA AND O
1FD4..1FD5  ; UNASSIGNED  # <reserved>..<reserved>
1FD6..1FD7  ; PVALID      # GREEK SMALL LETTER IOTA WITH PERISPOMENI..GR
1FD8..1FDB  ; DISALLOWED  # GREEK CAPITAL LETTER IOTA WITH VRACHY..GREEK
1FDC        ; UNASSIGNED  # <reserved>
1FDD..1FDF  ; DISALLOWED  # GREEK DASIA AND VARIA..GREEK DASIA AND PERIS
1FE0..1FE2  ; PVALID      # GREEK SMALL LETTER UPSILON WITH VRACHY..GREE
1FE3        ; DISALLOWED  # GREEK SMALL LETTER UPSILON WITH DIALYTIKA AN
1FE4..1FE7  ; PVALID      # GREEK SMALL LETTER RHO WITH PSILI..GREEK SMA
1FE8..1FEF  ; DISALLOWED  # GREEK CAPITAL LETTER UPSILON WITH VRACHY..GR
1FF0..1FF1  ; UNASSIGNED  # <reserved>..<reserved>
1FF2..1FF4  ; DISALLOWED  # GREEK SMALL LETTER OMEGA WITH VARIA AND YPOG
1FF5        ; UNASSIGNED  # <reserved>
1FF6        ; PVALID      # GREEK SMALL LETTER OMEGA WITH PERISPOMENI
1FF7..1FFE  ; DISALLOWED  # GREEK SMALL LETTER OMEGA WITH PERISPOMENI AN
1FFF        ; UNASSIGNED  # <reserved>
1FFFE..1FFFF; DISALLOWED  # <noncharacter>..<noncharacter>
2000..200B  ; DISALLOWED  # EN QUAD..ZERO WIDTH SPACE
20000..2A6D6; PVALID      # <CJK Ideograph Extension B>..<CJK Ideograph
200C..200D  ; CONTEXTJ    # ZERO WIDTH NON-JOINER..ZERO WIDTH JOINER
200E..2064  ; DISALLOWED  # LEFT-TO-RIGHT MARK..INVISIBLE PLUS
2065..2069  ; UNASSIGNED  # <reserved>..<reserved>
206A..2071  ; DISALLOWED  # INHIBIT SYMMETRIC SWAPPING..SUPERSCRIPT LATI
2072..2073  ; UNASSIGNED  # <reserved>..<reserved>
2074..208E  ; DISALLOWED  # SUPERSCRIPT FOUR..SUBSCRIPT RIGHT PARENTHESI
208F        ; UNASSIGNED  # <reserved>
2090..2094  ; DISALLOWED  # LATIN SUBSCRIPT SMALL LETTER A..LATIN SUBSCR
2095..209F  ; UNASSIGNED  # <reserved>..<reserved>
20A0..20B8  ; DISALLOWED  # EURO-CURRENCY SIGN..TENGE SIGN
20B9..20CF  ; UNASSIGNED  # <reserved>..<reserved>
20D0..20F0  ; DISALLOWED  # COMBINING LEFT HARPOON ABOVE..COMBINING ASTE
20F1..20FF  ; UNASSIGNED  # <reserved>..<reserved>
2100..214D  ; DISALLOWED  # ACCOUNT OF..AKTIESELSKAB
214E        ; PVALID      # TURNED SMALL F
214F..2183  ; DISALLOWED  # SYMBOL FOR SAMARITAN SOURCE..ROMAN NUMERAL R
2184        ; PVALID      # LATIN SMALL LETTER REVERSED C
2185..2189  ; DISALLOWED  # ROMAN NUMERAL SIX LATE FORM..VULGAR FRACTION
218A..218F  ; UNASSIGNED  # <reserved>..<reserved>
2190..23E8  ; DISALLOWED  # LEFTWARDS ARROW..DECIMAL EXPONENT SYMBOL
23E9..23FF  ; UNASSIGNED  # <reserved>..<reserved>
2400..2426  ; DISALLOWED  # SYMBOL FOR NULL..SYMBOL FOR SUBSTITUTE FORM
2427..243F  ; UNASSIGNED  # <reserved>..<reserved>
2440..244A  ; DISALLOWED  # OCR HOOK..OCR DOUBLE BACKSLASH
244B..245F  ; UNASSIGNED  # <reserved>..<reserved>
2460..26CD  ; DISALLOWED  # CIRCLED DIGIT ONE..DISABLED CAR
26CE        ; UNASSIGNED  # <reserved>
26CF..26E1  ; DISALLOWED  # PICK..RESTRICTED LEFT ENTRY-2
26E2        ; UNASSIGNED  # <reserved>
26E3        ; DISALLOWED  # HEAVY CIRCLE WITH STROKE AND TWO DOTS ABOVE
26E4..26E7  ; UNASSIGNED  # <reserved>..<reserved>
26E8..26FF  ; DISALLOWED  # BLACK CROSS ON SHIELD..WHITE FLAG WITH HORIZ
2700        ; UNASSIGNED  # <reserved>
2701..2704  ; DISALLOWED  # UPPER BLADE SCISSORS..WHITE SCISSORS
2705        ; UNASSIGNED  # <reserved>
2706..2709  ; DISALLOWED  # TELEPHONE LOCATION SIGN..ENVELOPE
270A..270B  ; UNASSIGNED  # <reserved>..<reserved>
270C..2727  ; DISALLOWED  # VICTORY HAND..WHITE FOUR POINTED STAR
2728        ; UNASSIGNED  # <reserved>
2729..274B  ; DISALLOWED  # STRESS OUTLINED WHITE STAR..HEAVY EIGHT TEAR
274C        ; UNASSIGNED  # <reserved>
274D        ; DISALLOWED  # SHADOWED WHITE CIRCLE
274E        ; UNASSIGNED  # <reserved>
274F..2752  ; DISALLOWED  # LOWER RIGHT DROP-SHADOWED WHITE SQUARE..UPPE
2753..2755  ; UNASSIGNED  # <reserved>..<reserved>
2756..275E  ; DISALLOWED  # BLACK DIAMOND MINUS WHITE X..HEAVY DOUBLE CO
275F..2760  ; UNASSIGNED  # <reserved>..<reserved>
2761..2794  ; DISALLOWED  # CURVED STEM PARAGRAPH SIGN ORNAMENT..HEAVY W
2795..2797  ; UNASSIGNED  # <reserved>..<reserved>
2798..27AF  ; DISALLOWED  # HEAVY SOUTH EAST ARROW..NOTCHED LOWER RIGHT-
27B0        ; UNASSIGNED  # <reserved>
27B1..27BE  ; DISALLOWED  # NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARD
27BF        ; UNASSIGNED  # <reserved>
27C0..27CA  ; DISALLOWED  # THREE DIMENSIONAL ANGLE..VERTICAL BAR WITH H
27CB        ; UNASSIGNED  # <reserved>
27CC        ; DISALLOWED  # LONG DIVISION
27CD..27CF  ; UNASSIGNED  # <reserved>..<reserved>
27D0..2B4C  ; DISALLOWED  # WHITE DIAMOND WITH CENTRED DOT..RIGHTWARDS A
2A6D7..2A6FF; UNASSIGNED  # <reserved>..<reserved>
2A700..2B734; PVALID      # <CJK Ideograph Extension C>..<CJK Ideograph
2B4D..2B4F  ; UNASSIGNED  # <reserved>..<reserved>
2B50..2B59  ; DISALLOWED  # WHITE MEDIUM STAR..HEAVY CIRCLED SALTIRE
2B5A..2BFF  ; UNASSIGNED  # <reserved>..<reserved>
2B735..2F7FF; UNASSIGNED  # <reserved>..<reserved>
2C00..2C2E  ; DISALLOWED  # GLAGOLITIC CAPITAL LETTER AZU..GLAGOLITIC CA
2C2F        ; UNASSIGNED  # <reserved>
2C30..2C5E  ; PVALID      # GLAGOLITIC SMALL LETTER AZU..GLAGOLITIC SMAL
2C5F        ; UNASSIGNED  # <reserved>
2C60        ; DISALLOWED  # LATIN CAPITAL LETTER L WITH DOUBLE BAR
2C61        ; PVALID      # LATIN SMALL LETTER L WITH DOUBLE BAR
2C62..2C64  ; DISALLOWED  # LATIN CAPITAL LETTER L WITH MIDDLE TILDE..LA
2C65..2C66  ; PVALID      # LATIN SMALL LETTER A WITH STROKE..LATIN SMAL
2C67        ; DISALLOWED  # LATIN CAPITAL LETTER H WITH DESCENDER
2C68        ; PVALID      # LATIN SMALL LETTER H WITH DESCENDER
2C69        ; DISALLOWED  # LATIN CAPITAL LETTER K WITH DESCENDER
2C6A        ; PVALID      # LATIN SMALL LETTER K WITH DESCENDER
2C6B        ; DISALLOWED  # LATIN CAPITAL LETTER Z WITH DESCENDER
2C6C        ; PVALID      # LATIN SMALL LETTER Z WITH DESCENDER
2C6D..2C70  ; DISALLOWED  # LATIN CAPITAL LETTER ALPHA..LATIN CAPITAL LE
2C71        ; PVALID      # LATIN SMALL LETTER V WITH RIGHT HOOK
2C72        ; DISALLOWED  # LATIN CAPITAL LETTER W WITH HOOK
2C73..2C74  ; PVALID      # LATIN SMALL LETTER W WITH HOOK..LATIN SMALL
2C75        ; DISALLOWED  # LATIN CAPITAL LETTER HALF H
2C76..2C7B  ; PVALID      # LATIN SMALL LETTER HALF H..LATIN LETTER SMAL
2C7C..2C80  ; DISALLOWED  # LATIN SUBSCRIPT SMALL LETTER J..COPTIC CAPIT
2C81        ; PVALID      # COPTIC SMALL LETTER ALFA
2C82        ; DISALLOWED  # COPTIC CAPITAL LETTER VIDA
2C83        ; PVALID      # COPTIC SMALL LETTER VIDA
2C84        ; DISALLOWED  # COPTIC CAPITAL LETTER GAMMA
2C85        ; PVALID      # COPTIC SMALL LETTER GAMMA
2C86        ; DISALLOWED  # COPTIC CAPITAL LETTER DALDA
2C87        ; PVALID      # COPTIC SMALL LETTER DALDA
2C88        ; DISALLOWED  # COPTIC CAPITAL LETTER EIE
2C89        ; PVALID      # COPTIC SMALL LETTER EIE
2C8A        ; DISALLOWED  # COPTIC CAPITAL LETTER SOU
2C8B        ; PVALID      # COPTIC SMALL LETTER SOU
2C8C        ; DISALLOWED  # COPTIC CAPITAL LETTER ZATA
2C8D        ; PVALID      # COPTIC SMALL LETTER ZATA
2C8E        ; DISALLOWED  # COPTIC CAPITAL LETTER HATE
2C8F        ; PVALID      # COPTIC SMALL LETTER HATE
2C90        ; DISALLOWED  # COPTIC CAPITAL LETTER THETHE
2C91        ; PVALID      # COPTIC SMALL LETTER THETHE
2C92        ; DISALLOWED  # COPTIC CAPITAL LETTER IAUDA
2C93        ; PVALID      # COPTIC SMALL LETTER IAUDA
